depth	min	max	median	mean
144.412607449857	11293	12236	11805	11799
145.41547277937	11490	12392	11965	11975
146.418338108883	11713	12413	12058	12079
147.421203438395	11885	12451	12166	12183
148.424068767908	11982	12587	12289	12287
149.426934097421	12030	12802	12401	12390
150.429799426934	12140	12960	12509	12505
151.432664756447	12340	12988	12636	12632
152.43553008596	12540	13021	12763	12760
153.438395415473	12722	13060	12890	12888
154.441260744986	12879	13131	13019	13016
155.444126074499	12966	13204	13099	13097
156.446991404011	13026	13214	13117	13119
157.449856733524	13070	13227	13136	13141
158.452722063037	13097	13246	13162	13164
159.45558739255	13106	13280	13186	13186
160.458452722063	13119	13308	13202	13203
161.461318051576	13130	13316	13211	13213
162.464183381089	13138	13323	13222	13223
163.467048710602	13144	13333	13232	13234
164.469914040115	13151	13344	13242	13244
165.472779369628	13164	13355	13253	13255
166.47564469914	13178	13363	13263	13266
167.478510028653	13188	13374	13275	13277
168.481375358166	13197	13386	13286	13288
169.484240687679	13204	13405	13297	13299
170.487106017192	13214	13419	13308	13310
171.489971346705	13228	13427	13320	13321
172.492836676218	13237	13435	13332	13332
173.495702005731	13244	13446	13343	13343
174.498567335244	13251	13463	13354	13354
175.501432664756	13265	13476	13366	13367
176.504297994269	13282	13487	13380	13380
177.507163323782	13296	13499	13394	13393
178.510028653295	13306	13518	13407	13406
179.512893982808	13312	13544	13418	13420
180.515759312321	13325	13564	13431	13434
181.518624641834	13339	13582	13446	13450
182.521489971347	13348	13606	13463	13466
183.52435530086	13355	13639	13478	13481
184.527220630372	13361	13671	13493	13497
185.530085959885	13381	13701	13513	13517
186.532951289398	13405	13721	13539	13541
187.535816618911	13421	13747	13565	13565
188.538681948424	13432	13787	13588	13590
189.541547277937	13440	13832	13608	13614
190.54441260745	13482	13872	13641	13650
191.547277936963	13534	13899	13689	13696
192.550143266476	13569	13930	13738	13741
193.553008595989	13598	13968	13788	13787
194.555873925501	13620	14030	13834	13833
195.558739255014	13679	14076	13872	13876
196.561604584527	13754	14095	13908	13918
197.56446991404	13811	14131	13947	13959
198.567335243553	13834	14184	13995	14000
199.570200573066	13852	14269	14040	14041
200.573065902579	13883	14325	14079	14081
201.575931232092	13910	14367	14116	14120
202.578796561605	13931	14414	14154	14158
203.581661891117	13950	14487	14188	14197
204.58452722063	13965	14556	14222	14236
205.587392550143	14003	14610	14263	14275
206.590257879656	14042	14640	14305	14316
207.593123209169	14066	14677	14349	14356
208.595988538682	14090	14727	14393	14396
209.598853868195	14106	14775	14438	14437
210.601719197708	14153	14811	14480	14476
211.604584527221	14206	14836	14520	14514
212.607449856734	14247	14863	14562	14552
213.610315186246	14273	14900	14602	14591
214.613180515759	14294	14955	14640	14629
215.616045845272	14340	14982	14677	14667
216.618911174785	14378	14998	14719	14703
217.621776504298	14410	15018	14756	14740
218.624641833811	14435	15045	14798	14777
219.627507163324	14458	15075	14837	14814
220.630372492837	14499	15102	14875	14853
221.63323782235	14551	15129	14915	14894
222.636103151862	14599	15165	14954	14935
223.638968481375	14631	15221	14990	14975
224.641833810888	14659	15307	15022	15016
225.644699140401	14703	15381	15064	15063
226.647564469914	14746	15477	15109	15112
227.650429799427	14786	15611	15150	15162
228.65329512894	14818	15755	15189	15212
229.656160458453	14843	15903	15224	15262
230.659025787966	14925	16133	15307	15364
231.661891117479	15012	16444	15396	15494
232.664756446991	15065	16784	15481	15624
233.667621776504	15110	17139	15561	15754
234.670487106017	15137	17461	15636	15884
235.67335243553	15197	17613	15731	15990
236.676217765043	15259	17656	15837	16083
237.679083094556	15301	17717	15937	16177
238.681948424069	15329	17800	16040	16270
239.684813753582	15358	17896	16138	16364
240.687679083095	15401	17951	16206	16433
241.690544412607	15454	17969	16276	16491
242.69340974212	15486	17999	16345	16550
243.696275071633	15520	18032	16425	16608
244.699140401146	15546	18078	16503	16666
245.702005730659	15592	18103	16580	16726
246.704871060172	15649	18131	16658	16787
247.707736389685	15695	18155	16746	16847
248.710601719198	15732	18182	16819	16908
249.713467048711	15763	18216	16893	16969
250.716332378223	15818	18243	16966	17034
251.719197707736	15887	18267	17039	17102
252.722063037249	15960	18296	17106	17169
253.724928366762	16009	18326	17181	17237
254.727793696275	16060	18368	17252	17304
255.730659025788	16118	18396	17313	17366
256.733524355301	16192	18417	17385	17425
257.736389684814	16247	18440	17435	17484
258.739255014327	16301	18463	17488	17543
259.74212034384	16357	18500	17547	17602
260.744985673352	16411	18538	17588	17640
261.747851002865	16453	18577	17616	17670
262.750716332378	16495	18613	17648	17700
263.753581661891	16527	18664	17686	17730
264.756446991404	16567	18704	17731	17761
265.759312320917	16610	18734	17759	17790
266.76217765043	16654	18754	17794	17818
267.765042979943	16698	18771	17823	17847
268.767908309456	16737	18800	17857	17876
269.770773638968	16761	18825	17896	17904
270.773638968481	16829	18857	17940	17942
271.776504297994	16888	18892	17992	17982
272.779369627507	16924	18928	18040	18021
273.78223495702	16963	18963	18086	18061
274.785100286533	16982	19005	18147	18101
275.787965616046	17069	19037	18210	18156
276.790830945559	17134	19072	18275	18214
277.793696275072	17189	19110	18342	18272
278.796561604585	17229	19155	18424	18330
279.799426934097	17263	19220	18506	18388
280.80229226361	17382	19250	18568	18452
281.805157593123	17498	19274	18628	18519
282.808022922636	17616	19292	18695	18585
283.810888252149	17709	19324	18752	18652
284.813753581662	17776	19374	18819	18718
285.816618911175	17895	19398	18879	18783
286.819484240688	18004	19425	18934	18847
287.822349570201	18094	19451	18991	18912
288.825214899713	18170	19480	19057	18976
289.828080229226	18227	19525	19123	19040
290.830945558739	18399	19548	19176	19108
291.833810888252	18597	19560	19227	19176
292.836676217765	18757	19583	19284	19244
293.839541547278	18875	19611	19344	19312
294.842406876791	18934	19654	19415	19380
295.845272206304	19026	19677	19454	19423
296.848137535817	19115	19699	19487	19461
297.85100286533	19182	19730	19520	19500
298.853868194842	19215	19756	19556	19538
299.856733524355	19246	19809	19590	19576
300.859598853868	19274	19827	19612	19601
301.862464183381	19304	19843	19633	19623
302.865329512894	19329	19863	19655	19645
303.868194842407	19353	19885	19676	19667
304.87106017192	19377	19910	19697	19689
305.873925501433	19404	19924	19714	19707
306.876790830946	19433	19944	19730	19723
307.879656160458	19451	19960	19746	19740
308.882521489971	19471	19977	19762	19756
309.885386819484	19493	19998	19778	19773
310.888252148997	19515	20011	19796	19790
311.89111747851	19539	20024	19813	19808
312.893982808023	19566	20036	19831	19826
313.896848137536	19588	20061	19848	19843
314.899713467049	19608	20085	19865	19861
315.902578796562	19623	20096	19881	19878
316.905444126074	19643	20110	19897	19894
317.908309455587	19663	20129	19915	19911
318.9111747851	19679	20149	19930	19928
319.914040114613	19691	20172	19946	19944
320.916905444126	19714	20188	19962	19961
321.919770773639	19734	20202	19978	19977
322.922636103152	19751	20222	19993	19994
323.925501432665	19766	20243	20009	20011
324.928366762178	19779	20272	20024	20027
325.931232091691	19799	20288	20040	20043
326.934097421203	19820	20303	20057	20059
327.936962750716	19835	20318	20072	20074
328.939828080229	19849	20334	20088	20090
329.942693409742	19862	20356	20104	20106
330.945558739255	19882	20365	20119	20121
331.948424068768	19903	20382	20133	20137
332.951289398281	19919	20401	20149	20152
333.954154727794	19933	20423	20164	20168
334.957020057307	19946	20443	20180	20183
335.95988538682	19973	20454	20195	20200
336.962750716332	19993	20467	20212	20216
337.965616045845	20012	20482	20227	20233
338.968481375358	20029	20500	20244	20249
339.971346704871	20044	20522	20259	20266
340.974212034384	20074	20542	20278	20287
341.977077363897	20099	20572	20299	20308
342.97994269341	20119	20607	20319	20329
343.982808022923	20137	20648	20340	20351
344.985673352436	20150	20685	20358	20372
345.988538681948	20189	20717	20385	20403
346.991404011461	20217	20758	20415	20434
347.994269340974	20233	20806	20445	20465
348.997134670487	20252	20868	20475	20496
350	20269	20934	20501	20527
