Specimen,Family,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium crest_GL,SVL,TL,Sex,species,genus
Aspidoscelis sp._CJB-1796,Teiidae,8.1,9.92,,1.58,5.45,4.99,,3.95,2.19,2.42,1.05,14.45,10.33,2.4,5.47,80,,,Aspidoscelis sp.,Aspidoscelis
Aspidoscelis tigris gracilis_CJB-1719,Teiidae,6.17,8.15,,,,4.83,3.39,3.19,,2.04,,12.55,7.49,,4.72,66,,,Aspidoscelis tigris gracilis,Aspidoscelis
Aspidoscelis tigris marmoratus_CJB-1833,Teiidae,8.68,10.05,8.85,1.77,5.96,5.57,4.2,3.82,2.37,2.9,1.29,14.22,10.7,2.52,6.34,90,,,Aspidoscelis tigris marmoratus,Aspidoscelis
Aspidoscelis tigris punctilinealis_TMM_M-13772,Teiidae,8.62,10.91,,2.11,6.42,5.08,,4.57,2.44,2.79,1.8,16.82,11.38,2.41,6.18,84,275,male,Aspidoscelis tigris punctilinealis,Aspidoscelis
Aspidoscelis tigris tigris_CJB-1793,Teiidae,8.76,11,10,2.38,6.71,5.45,5.05,4.15,2.23,3.95,1.46,17.2,12.3,2.55,6.97,94,,,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_CJB-875,Teiidae,9.23,10.34,8.85,1.72,5.44,4.94,4.14,3.87,,2.85,,14.97,9.77,,5.71,69,,,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_TMM_M-13873,Teiidae,6.29,7.28,,,,4.67,3.36,3.25,,1.85,0.54,10.5,7.42,,4.14,53,,male,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_TMM_M-13874,Teiidae,8.49,9.64,8.62,1.71,5.72,,,3.81,,2.39,,12.95,9.27,,,78,,,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_TMM_M-13876,Teiidae,7,8.39,7.82,1.66,5.1,4.85,3.82,3.58,,2.47,,12.3,,,4.98,73,,,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_TMM_M-13987,Teiidae,9.04,11.18,10.26,2.15,,5.53,4.64,4.03,2.33,2.81,1.1,14.58,10.38,2.47,5.99,89,,,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tigris_TMM_M-8478,Teiidae,9.19,10.96,9.52,1.79,6.37,5.24,4.21,4.23,,3.39,1.14,16.99,12.46,2.8,6.45,97,321,female,Aspidoscelis tigris tigris,Aspidoscelis
Aspidoscelis tigris tirgris_TMM_M-13872,Teiidae,,9.38,,,,5.02,4.04,3.87,,,1.17,15.4,10.19,,5.37,82,,,Aspidoscelis tigris tirgris,Aspidoscelis
Aspidoscelis tigris_CJB-1720,Teiidae,7.56,9.07,9.02,1.8,5.47,5,3.66,3.59,1.75,2.46,1.17,14.17,10.05,2.55,5.86,88,238,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_CJB-1754,Teiidae,6.44,7.66,7.46,1.31,4.89,4.77,3.68,3.39,,1.93,,11.15,7.68,,4.45,72,,female,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-12337,Teiidae,4.88,7.55,,1.47,,4.39,3.82,3.47,,1.72,0.92,11.68,8.16,2,4.21,68,226,female,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13059,Teiidae,7.27,9.28,,1.3,5.69,4.16,,4,,2.31,0.73,13.4,9.09,2.06,4.89,69,240,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13082,Teiidae,6.11,6.76,,1.1,,,,2.99,,1.81,0.56,9.86,6.75,,3.64,78,170,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13775,Teiidae,6.67,7.48,,1.08,5.03,4.43,,3.35,,1.58,0.7,,7.31,1.42,3.6,59,126,female,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13777,Teiidae,5.24,5.9,,1.07,4.88,4.65,,3.51,1.69,1.51,0.78,9.53,6.84,1.6,3.46,54,186,male,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13779,Teiidae,7.33,,,1.41,5.41,4.76,,3.87,1.99,1.94,0.95,12.64,9.13,1.72,4.28,71,207,female,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13871,Teiidae,7.76,8.98,8.13,1.47,5.53,5.3,3.65,3.24,1.97,2.13,0.66,10.97,8.19,2.01,3.61,82,195,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13877,Teiidae,8.54,9.99,,2.19,7.04,5.18,,4.63,2.33,3.44,1.09,16.71,11.99,2.35,6.47,86,,male,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13878,Teiidae,6.95,8.64,,,5.58,4.77,3.69,3.61,,2.5,,12.34,8.5,1.89,5.06,82,,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-13879,Teiidae,7.56,9.26,8.35,1.52,5.11,,3.55,3.87,,2.5,1.01,,,,5.1,75,256,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-9988,Teiidae,7.12,7.57,,1.34,5.33,4.37,,3.85,1.83,2.15,0.64,11.68,8.5,1.76,4.54,68,226,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis tigris_TMM_M-9998,Teiidae,6.85,8.91,,1.81,6.78,4.8,,4.09,1.98,2.41,0.89,13.3,9.39,2.15,5,69,261,,Aspidoscelis tigris,Aspidoscelis
Aspidoscelis uniparens_TMM_M-13881,Teiidae,6.44,7.02,6.81,1.24,4.49,,,3.02,,,0.88,10.21,7.1,1.91,4.8,68,,,Aspidoscelis uniparens,Aspidoscelis
Aspidoscelis uniparens_TMM_M-8479,Teiidae,5.25,5.71,5.91,1.14,4.1,4.35,2.63,2.58,,1.9,,9,6.03,,3.69,54,,,Aspidoscelis uniparens,Aspidoscelis
Aspidposcelis tigris tigris_TMM_M-13875,Teiidae,8.28,8.88,8.19,1.79,5.13,4.68,3.63,3.35,,,0.61,13.69,8.73,1.53,5.18,75,279,,Aspidposcelis tigris tigris,Aspidposcelis
